"filename", "language", "Go", "comment", "blank", "total"
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/elev/elevator.go", "Go", 68, 0, 14, 82
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/elevio/driver.go", "Go", 161, 0, 31, 192
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/elevio/elevio.go", "Go", 24, 0, 6, 30
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/movement/movement.go", "Go", 124, 56, 40, 220
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/network/bcast/bcast.go", "Go", 115, 14, 18, 147
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/network/conn/bcast_conn_darwin.go", "Go", 24, 1, 6, 31
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/network/conn/bcast_conn_linux.go", "Go", 22, 1, 6, 29
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/network/conn/bcast_conn_windows.go", "Go", 20, 39, 10, 69
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/network/localip/localip.go", "Go", 17, 0, 4, 21
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/network/network.go", "Go", 13, 0, 4, 17
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/network/peers/peers.go", "Go", 66, 3, 19, 88
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/ordercontrol/orders.go", "Go", 149, 22, 41, 212
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/parser/parser.go", "Go", 19, 9, 7, 35
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/requests/requests.go", "Go", 171, 4, 22, 197
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/rolemanager/rolemanager.go", "Go", 20, 6, 8, 34
"/home/mariusers/Sanntidsprogrammering/Prosjekt/elevator-project-g7/internal/timer/timer.go", "Go", 55, 0, 9, 64
"Total", "-", 1068, 155, 245, 1468
